,stages,totalMinutesAsleep,totalSleepRecords,totalTimeInBed,date
deep,48,395,1,397,2023-03-28
light,228,395,1,397,2023-03-28
rem,66,395,1,397,2023-03-28
wake,55,395,1,397,2023-03-28
deep,40,365,1,372,2023-03-30
light,206,365,1,372,2023-03-30
rem,89,365,1,372,2023-03-30
wake,37,365,1,372,2023-03-30
deep,87,392,1,403,2023-03-31
light,174,392,1,403,2023-03-31
rem,88,392,1,403,2023-03-31
wake,54,392,1,403,2023-03-31
deep,38,323,1,328,2023-04-01
light,181,323,1,328,2023-04-01
rem,62,323,1,328,2023-04-01
wake,47,323,1,328,2023-04-01
deep,81,508,1,519,2023-04-02
light,243,508,1,519,2023-04-02
rem,126,508,1,519,2023-04-02
wake,69,508,1,519,2023-04-02
deep,28,381,1,394,2023-04-03
light,286,381,1,394,2023-04-03
rem,17,381,1,394,2023-04-03
wake,63,381,1,394,2023-04-03
deep,58,349,1,354,2023-04-04
light,204,349,1,354,2023-04-04
rem,51,349,1,354,2023-04-04
wake,41,349,1,354,2023-04-04
deep,59,305,1,311,2023-04-05
light,185,305,1,311,2023-04-05
rem,18,305,1,311,2023-04-05
wake,49,305,1,311,2023-04-05
deep,95,544,1,554,2023-04-06
light,268,544,1,554,2023-04-06
rem,126,544,1,554,2023-04-06
wake,65,544,1,554,2023-04-06
deep,61,481,1,500,2023-04-07
light,270,481,1,500,2023-04-07
rem,93,481,1,500,2023-04-07
wake,76,481,1,500,2023-04-07
deep,81,439,1,456,2023-04-08
light,200,439,1,456,2023-04-08
rem,110,439,1,456,2023-04-08
wake,65,439,1,456,2023-04-08
deep,41,405,1,418,2023-04-09
light,250,405,1,418,2023-04-09
rem,47,405,1,418,2023-04-09
wake,80,405,1,418,2023-04-09
deep,36,314,1,321,2023-04-10
light,191,314,1,321,2023-04-10
rem,64,314,1,321,2023-04-10
wake,30,314,1,321,2023-04-10
deep,68,489,1,494,2023-04-11
light,271,489,1,494,2023-04-11
rem,104,489,1,494,2023-04-11
wake,51,489,1,494,2023-04-11
deep,54,272,1,279,2023-04-12
light,145,272,1,279,2023-04-12
rem,57,272,1,279,2023-04-12
wake,23,272,1,279,2023-04-12
deep,96,479,1,485,2023-04-13
light,215,479,1,485,2023-04-13
rem,125,479,1,485,2023-04-13
wake,49,479,1,485,2023-04-13
deep,82,542,1,577,2023-04-15
light,307,542,1,577,2023-04-15
rem,116,542,1,577,2023-04-15
wake,72,542,1,577,2023-04-15
deep,79,411,1,417,2023-04-16
light,179,411,1,417,2023-04-16
rem,134,411,1,417,2023-04-16
wake,25,411,1,417,2023-04-16
deep,49,350,1,366,2023-04-17
light,199,350,1,366,2023-04-17
rem,71,350,1,366,2023-04-17
wake,47,350,1,366,2023-04-17
deep,100,492,1,499,2023-04-19
light,228,492,1,499,2023-04-19
rem,104,492,1,499,2023-04-19
wake,67,492,1,499,2023-04-19
